"Author_name","PC","PY_start","PY_end","Pub_period","Author_count_avg","PC_annu","PY_first_start","PY_first_end","First_period","PC_first","PC_first_annu","Author_index","Author_color","OC","PY_off_start","PY_off_end","Off_period","PC_off","PC_off_annu","Family_degree_out","Family_degree_in","Family_index","Family_size","AG","PY_col_in_start","PY_col_in_end","Col_in_period","PC_col_in","PC_col_in_annu","R_PC_col_in_PC","R_PC_col_in_PC_annu","PY_col_out_start","PY_col_out_end","Col_out_period","PC_col_out","PC_col_out_annu","R_PC_col_out_PC_annu","R_PC_col_out_PC","PC_col_tot","degree_all","degree_out","degree_in","R_deg_in_out","PCxOCxCC","PCxOCxCC_norm"
"HILDEBRANDT G",4,1970,1991,22,1,0.181818181818182,NA,NA,0,0,0,69,"#4565FB",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MCMURRAY L",1,1970,1970,1,2,1,NA,NA,0,0,0,-70,"#F26641",0,1970,1970,1,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"LAVERNHE J",1,1970,1970,1,1,1,NA,NA,0,0,0,71,"#8B272D",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ASMUNDSON SJ",1,1970,1970,1,2,1,NA,NA,0,0,0,-72,"#1B3EC7",0,1970,1970,1,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"VIVANCO F",1,1970,1970,1,3,1,NA,NA,0,0,0,73,"#CC016E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"TRUMAN JW",3,1971,2008,38,2,0.0789473684210526,NA,NA,0,0,0,-74,"#550A15",0,2002,2002,1,1,1,0,0,0,0,0,2004,2004,1,1,1,0.333333333333333,12.6666666666667,2002,2002,1,1,1,12.6666666666667,0.333333333333333,2,2,1,1,1,0,0
"RIETVELD WJ",5,1971,1999,29,2.8,0.172413793103448,1979,1979,1,1,1,75,"#4D39B7",1,1998,1999,2,2,1,1,0,11,2,1,2003,2003,1,1,1,0.2,5.8,1990,1990,1,1,1,5.8,0.2,2,2,1,1,1,10,4.60557827640839e-05
"ALLEVA FR",3,1971,2002,32,2.33333333333333,0.09375,NA,NA,0,0,0,-76,"#FE8362",1,1971,2002,32,3,0.09375,1,0,10,2,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MITCHELL JL",1,1971,1971,1,1,1,NA,NA,0,0,0,77,"#B40268",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"OGATA K",1,1971,1971,1,1,1,NA,NA,0,0,0,-78,"#92EEB9",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
